,家(件)數, 營業總額 , 報 繳（查 定） 稅 額本月份 , 報 繳（查 定） 稅 額本年度截至本月底累計 , 實徵稅額本月份 , 實徵稅額本年度截至本月底累計 
1月合計,507,"33,646,349","2,407,341","2,407,341","2,129,935","2,129,935"
1月自動申報,4,"10,204,813","302,334","302,334","302,334","302,334"
1月查定課徵,503,"23,441,536","2,105,007","2,105,007","1,827,601","1,827,601"
1月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
2月合計,515,"29,070,071","2,400,134","4,807,475","2,267,498","4,397,433"
2月自動申報,4,"5,551,173","276,355","578,689","276,355","578,689"
2月查定課徵,511,"23,518,898","2,123,779","4,228,786","1,991,143","3,818,744"
2月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
3月合計,517,"30,587,380","2,428,405","7,241,820","2,490,613","6,888,046"
3月自動申報,4,"6,864,447","295,766","874,455","295,766","874,455"
3月查定課徵,513,"23,722,933","2,132,639","6,367,365","2,194,847","6,013,591"
3月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
4月合計,517,"29,621,554","2,301,745","9,543,565","2,147,384","9,035,430"
4月自動申報,4,"6,257,180","193,451","1,067,906","193,451","1,067,906"
4月查定課徵,513,"23,364,374","2,108,294","8,475,659","1,953,933","7,967,524"
4月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
5月合計,512,"26,521,175","2,200,828","11,744,208","2,282,162","11,317,592"
5月自動申報,4,"3,260,311","98,174","1,166,080","98,174","1,166,080"
5月查定課徵,508,"23,260,864","2,102,654","10,578,128","2,183,988","10,151,512"
5月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
6月合計,501,"26,374,933","2,154,755","13,899,845","2,040,946","13,358,538"
6月自動申報,4,"3,462,723","91,103","1,257,183","91,103","1,257,183"
6月查定課徵,497,"22,912,210","2,063,652","12,642,662","1,949,843","12,101,355"
6月臨時公演,0,0,0,0,0,0
違章補徵稅款,0,0,0,0,0,0
7月合計,496,"23,994,658","1,643,877","15,546,767","1,550,444","14,908,982"
7月自動申報,4,"7,810,766","191,478","1,448,661","191,478","1,448,661"
7月查定課徵,488,"15,982,157","1,442,358","14,088,065","1,348,925","13,450,280"
7月臨時公演,2,"99,735",569,569,569,569
違章補徵稅款,2,"102,000","9,472","9,472","9,472","9,472"
8月合計,514,"21,279,632","1,418,405","16,965,172","1,862,600","16,771,582"
8月自動申報,4,"8,216,759","252,748","1,701,409","252,748","1,701,409"
8月查定課徵,510,"13,062,873","1,165,657","15,253,722","1,609,852","15,060,132"
8月臨時公演,0,0,0,569,0,569
違章補徵稅款,0,0,0,"9,472",0,"9,472"
9月合計,514,"20,470,028","1,436,777","18,402,847","1,347,473","18,119,055"
9月自動申報,4,"7,247,153","247,216","1,948,625","247,216","1,948,625"
9月查定課徵,509,"13,182,375","1,187,633","16,442,253","1,098,329","16,158,461"
9月臨時公演,1,"40,500","1,928","2,497","1,928","2,497"
違章補徵稅款,0,0,0,"9,472",0,"9,472"
10月合計,519,"22,959,780","1,923,331","20,326,178","1,923,446","20,042,501"
10月自動申報,4,"4,062,030","228,931","2,177,556","228,931","2,177,556"
10月查定課徵,513,"18,851,609","1,694,049","18,136,302","1,694,199","17,852,660"
10月臨時公演,2,"46,141",351,"2,848",316,"2,813"
違章補徵稅款,0,0,0,9472,0,9472
11月合計,527,28990295,2259331,22585509,2090336,22132837
11月自動申報,6,8575696,587765,2765321,587765,2765321
11月查定課徵,514,18776694,1666925,19803227,1496530,19349190
11月臨時公演,7,1637905,4641,7489,6041,8854
違章補徵稅款,0,0,0,9472,0,9472
12月合計,528,28715969,2122131,24711864,2369332,24504169
12月自動申報,6,7858810,441351,3206672,441351,3206672
12月查定課徵,515,18435254,1674368,21481819,1924463,21275653
12月臨時公演,7,2421905,6412,13901,3518,12372
違章補徵稅款,0,0,0,9472,0,9472
